country,iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burundi,BDI,34505.017398140284,34238.453785253296,34292.25839644029,34253.90167702274,33825.28589624062,33848.96627876561,33917.095122263876,33411.799183514915,32611.368088282234,31656.49850560869,30789.238331669658,29607.17272052068,28851.46896999018,28177.38037287637,27701.75923342493,27248.497016623856,26564.180038645452,25909.078658895713,25280.848632715708,24740.459250294207,24515.98886278508,24406.98716576736,24225.612756389823,24004.555135407045,23825.322886643167,23658.528892534658,23376.706055681192,23266.775074844383
Cambodia,KHM,29339.52019342337,29053.157935551717,28817.20478589069,28684.76525234538,28547.92490853553,28391.648093387023,28160.33212544356,27927.222269390644,27727.25525776832,27493.926849663232,27266.10958165844,26988.9217751891,26712.265546475544,26382.328938674094,26061.989392706382,25698.649642407905,25309.894436211343,24944.693675534563,24556.88478763067,24234.223924217895,23977.01868257492,23727.222850753256,23505.832025256415,23274.625749637387,23121.51532284131,22980.768862468365,22830.12584773091,22675.516192276635
Cameroon,CMR,25328.690975456204,25377.606126353607,25510.84100798972,25639.21654470887,25666.607404461614,25689.308422303304,25792.26192153295,25963.000312204425,26045.604835296625,26100.55001550774,26223.673679731844,26006.62295851929,25904.887566383033,25709.72903716764,25541.765471459217,25446.23586481065,25312.329429261816,25101.99204826544,24907.082689561274,24786.09838272837,24600.268103920655,24317.927374002553,23986.579332407713,23638.130813758347,23282.855314560868,22979.44365337855,22761.129172298806,22425.355429754734
Canada,CAN,19167.66497731414,18940.791722132995,18799.363532009043,18795.91886502654,18661.134261245337,18532.62668215627,18325.96423171502,18113.601785041,17952.035177812635,17800.232103051752,17588.363041442197,17441.148592949186,17321.477867817463,17190.56641899117,16983.47201870725,16881.007468300035,16629.80034729861,16568.3554372818,16457.55592635101,16251.399378558604,16033.4823123939,15833.80686995606,15861.057231131534,15776.262468583216,15892.458286852763,15948.55100628438,15848.757768873156,15797.56837131188
Cape Verde,CPV,19992.585497875083,19864.623783509196,19762.808394693115,19704.401741988324,19643.075506611403,19516.350304008218,19513.612094108805,19360.93674697382,19177.52439146605,19185.744920251087,19018.84117953899,18902.2943319319,18824.870657307747,18674.808287412543,18542.237426375545,18427.379175429392,18384.49440032562,18219.76449053799,18112.954959057693,18019.882128700185,18024.1885543397,17930.63001768026,17942.0298654699,17843.834893294574,17800.94950219794,17719.270951505023,17708.942590944505,17622.680825018942
Caribbean,NA,23162.49590058379,22922.1737818448,22818.88431306566,22794.36523755018,22646.6508575428,22526.514695393125,22293.07879135157,21992.39392262013,21894.28818924343,21640.97154883155,21272.41379058841,21072.95339761445,20671.64488197582,20638.56738357463,20632.012892931845,20644.387927712796,20419.035148910934,20379.873822468995,20359.596335762668,20328.81935964989,20218.181283364345,20030.22084365356,20098.235572292368,20190.4277662641,20204.462315861536,20249.153163196857,20273.934925342845,20175.686598209115
Central African Republic,CAF,34175.31924918706,34374.484327747574,34197.77049508297,34563.599685870824,34519.02362224136,34266.179551888454,34481.70588572426,34194.35680653842,34204.13664510521,34144.71571689106,33768.92879736309,33584.841139591445,33515.31762624792,33347.76242819315,33134.39277339565,33005.363525016146,33121.79681906848,32973.12245733004,32788.73384965189,32741.756600889643,32774.07656220872,32555.59626914205,32224.763456635697,32307.420238810337,32257.181067801463,32143.47609983868,31860.929960616,31591.22448154346
Central Asia,NA,24739.110673795243,25154.988613348793,25838.88250172226,26720.496709222964,27509.51684686306,27772.79107825253,27750.25005426425,27513.34481604696,27304.362700225996,27026.23669133422,27171.836426847494,27296.409725739744,27644.319135865346,28019.483927617435,28217.90736165507,28408.34885848817,28091.190184873092,27640.72133667761,27199.24636726805,26659.108477666847,26405.90574455873,26125.53527792427,25849.44622542027,25447.030973891637,25113.005680253824,24869.69109258848,24728.245636280102,24547.53602544907
Central Europe,NA,25193.68598615289,25069.53443104466,25135.836537574454,24859.176297685855,24790.826111135422,24736.91396885037,24480.346454133887,24370.7143219768,23817.285267918494,23486.3461282842,22972.329296673783,22679.74163872139,22501.89042141377,22329.24412132291,21995.87024391881,21848.01887898558,21541.792039398017,21316.73848837873,21070.41855596284,20830.737048677616,20444.756089035767,20080.24822483829,19902.349121109502,19589.038967642708,19385.964592923363,19378.155833296765,19094.45121645664,18909.03660610804
"Central Europe, Eastern Europe, and Central Asia",NA,25621.829577461387,25813.13536981552,26523.331025935393,28071.394563622685,29082.494457560948,28834.55270152848,27978.328635344325,27211.73405460565,26681.901013528568,27185.916682962008,27440.950798659625,27448.92411030609,27677.33787100083,27800.95366156129,27634.95536514941,28025.72592835187,26983.239362985783,26395.465506731092,26134.569609479626,25251.855182215553,24911.296822687,24070.982629133316,23673.389633223793,23278.89500890735,23058.537145557435,23207.72933366953,22782.90206423455,22439.807007949963
Central Latin America,NA,20319.21477500735,20329.645633849064,20377.237146006984,20299.807182555134,20254.125636789155,20080.26965797583,19794.131419485504,19562.48794323198,19434.089874093817,19168.849933308957,18916.84967358104,18738.066300553495,18813.06220483398,18693.446445880913,18394.908122472312,18285.94244070239,18125.284506016153,17928.371192369115,18039.34061551051,18133.93398241688,17951.44344522346,17743.095264124786,17679.20073223205,17643.121950463785,17675.031344978524,17619.124584631358,17638.09043229557,17636.886574987228
Central Sub-Saharan Africa,NA,28625.8121129776,28644.791924311176,28581.909918802277,28532.991312578317,28553.32406135392,28579.644660766666,28640.85612260582,28249.88595140197,28323.050364007864,28112.253056781377,27971.883018621927,27727.038272217294,27383.73947322007,27359.22386338019,27121.5235831629,26764.075316226365,26581.498985905215,26355.440446050376,26254.934930572643,26131.894019085543,26009.50468199001,25872.04055317543,25735.661666848213,25498.80504679222,25237.63292912003,25076.226061061392,24849.193945837334,24678.776482277237
Chad,TCD,23821.949642566393,23446.976051868853,23461.97007699083,23628.940073463345,23528.85720425802,23516.054728072875,23836.301679893008,23987.7352142239,24099.63631413772,24247.5868156123,24305.925052139763,24387.002071024173,24383.468102975577,24477.77045868661,24300.56527710174,24057.14719141572,23944.17641679306,24027.057289438577,23981.996303506257,23968.05691807626,24066.919905922525,24012.759049778884,23933.214518130404,23816.356689616216,23709.81790234271,23651.59328177491,23600.33970566198,23474.936674361772
Chile,CHL,21460.463704483416,20513.540037393926,20001.490397462443,20039.54001194892,20037.012377646544,20014.727435192144,19802.624681888316,19490.705655316284,19445.601584729626,19313.219233616837,18953.16709197948,19148.034223480143,18807.21053821948,18861.414499099206,18758.83199484311,18430.10070307202,18219.54311665136,18108.604780954527,17787.03885044971,17954.5380345581,17820.306908597653,17598.572620543993,17459.794514806665,17395.21539153243,17241.827863009647,17162.05653344222,17111.884170693538,17124.50382961511
China,CHN,24396.54294550175,24359.867513493657,24187.705313360235,23909.31809523795,23570.20249298036,23306.548523013254,23033.6763777421,22674.58951970559,22355.575544810137,22003.89103958141,21700.850254701985,21294.310722060876,20997.618536346738,20645.67447314262,20305.989290735637,19759.40343682669,19066.46139119716,18653.565929480246,18508.673027905937,18450.33111124995,18396.88630502019,18300.51286925268,18154.7072801518,17883.970663761775,17881.732248834018,17953.157279308685,17747.951978739733,17348.123367796135
Colombia,COL,19455.022989076013,19739.446501086884,19666.71538433554,19290.910872939905,19224.770206161225,19051.58496631217,18826.799139465493,18110.276855248216,17696.624014306388,17514.334403944504,17297.17913705781,17133.4496046129,17591.084726744764,16972.745829586846,16748.5573940471,16355.068258052044,16349.529931279683,15978.943750962451,15830.0920713761,15771.669512285023,15504.284390794965,15061.294621415722,14895.968477298788,14711.584374781936,14620.047252143042,14595.8105295728,14567.39659973023,14499.72320064232
Comoros,COM,29756.082436393204,29443.90040430002,29122.051198716217,28855.280361311252,28658.38419322046,28385.43614066143,28040.48528569327,27655.843602500907,27131.970211536904,26366.115634398167,25781.100849288196,25161.701025480503,24681.294730233116,24200.374601214255,23796.05196071594,23439.4810941525,23281.64227217373,23064.49649748361,22950.66144781541,22766.159201690218,22585.203800646996,22482.48705706049,22341.82066323477,22111.08529017651,21997.71297282743,21850.972203801535,21703.909610015617,21600.126721279215
